"","Phylum","Class","Order","Family","Genus","Species","OTU"
"JRJTB:01669:01554","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidaceae","D_5__Bacteroides",NA,"JRJTB:01669:01554"
"JRJTB:01669:01873","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Tannerellaceae","D_5__Parabacteroides",NA,"JRJTB:01669:01873"
"JRJTB:01671:00033","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Lactococcus","D_6__uncultured bacterium","JRJTB:01671:00033"
"JRJTB:01671:01690","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Oscillospira","D_6__uncultured bacterium","JRJTB:01671:01690"
"JRJTB:01672:00498","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae",NA,NA,"JRJTB:01672:00498"
"JRJTB:01672:01627","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-005","D_6__uncultured bacterium","JRJTB:01672:01627"
"JRJTB:01672:02461","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidaceae","D_5__Bacteroides","D_6__uncultured bacterium","JRJTB:01672:02461"
"JRJTB:01673:00597","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__[Eubacterium] coprostanoligenes group","D_6__uncultured bacterium","JRJTB:01673:00597"
"JRJTB:01673:01546","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae",NA,NA,"JRJTB:01673:01546"
"JRJTB:01674:01725","D_1__Cyanobacteria","D_2__Melainabacteria","D_3__Gastranaerophilales","D_4__uncultured bacterium","D_5__uncultured bacterium","D_6__uncultured bacterium","JRJTB:01674:01725"
"JRJTB:01674:01759","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__[Eubacterium] coprostanoligenes group","D_6__uncultured bacterium","JRJTB:01674:01759"
"JRJTB:01675:01864","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Rikenellaceae","D_5__Alistipes",NA,"JRJTB:01675:01864"
"JRJTB:01676:00231","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-005","D_6__uncultured bacterium","JRJTB:01676:00231"
"JRJTB:01676:00862","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Rikenellaceae","D_5__Rikenellaceae RC9 gut group","Ambiguous_taxa","JRJTB:01676:00862"
"JRJTB:01676:02792","D_1__Verrucomicrobia","D_2__Verrucomicrobiae","D_3__Verrucomicrobiales","D_4__Akkermansiaceae","D_5__Akkermansia",NA,"JRJTB:01676:02792"
"JRJTB:01677:02652","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcus 1","D_6__uncultured bacterium","JRJTB:01677:02652"
"JRJTB:01678:01739","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Prevotellaceae","D_5__Prevotellaceae NK3B31 group","D_6__uncultured bacterium","JRJTB:01678:01739"
"JRJTB:01679:02665","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","JRJTB:01679:02665"
"JRJTB:01680:02114","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gauvreauii group","D_6__uncultured bacterium","JRJTB:01680:02114"
"JRJTB:01681:00487","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","JRJTB:01681:00487"
